Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean,Ticker
"Penske Automotive Group, Inc.",USA,Consumer Cyclical,Auto & Truck Dealerships,USD,us_market,NYQ,7,4622516224,1.710822,2.1,PAG
"Allscripts Healthcare Solutions, Inc.",USA,Healthcare,Health Information Services,USD,us_market,NMS,18,2248083712,0.947576,2.6,MDRX
"Kulicke and Soffa Industries, Inc.",USA,Technology,Semiconductor Equipment & Materials,USD,us_market,NMS,4,1940896896,1.164599,2.2,KLIC
Ethan Allen Interiors Inc.,USA,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USD,us_market,NYQ,1,464233952,1.122322,3,ETH
"Aspen Technology, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,7,9062117376,1.366403,2.6,AZPN
Anixter International Inc.,USA, , , ,us_market,NYQ, , , , ,AXE
"Apricus Biosciences, Inc.",USA, , , ,us_market,NCM, , , , ,APRI
American Homes 4 Rent,USA,Real Estate,REIT—Residential,USD,us_market,NYQ,15,9187440640,0.608793,2.3,AMH
"AMETEK, Inc.",USA,Industrials,Specialty Industrial Machinery,USD,us_market,NYQ,14,26972819456,1.314543,2.1,AME
Arthur J. Gallagher & Co.,USA,Financial Services,Insurance Brokers,USD,us_market,NYQ,11,22445899776,0.683201,2,AJG
"Alliance Holdings GP, L.P.",USA, , , ,us_market,NMS, , , , ,AHGP
AGCO Corporation,USA,Industrials,Farm & Heavy Construction Machinery,USD,us_market,NYQ,14,6897495040,1.157271,2.1,AGCO
"Aerie Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,12,580035392,0.713641,1.9,AERI
Ares Commercial Real Estate Corporation,USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,5,384916288,1.321871,2.2,ACRE
Western Alliance Bancorporation,USA,Financial Services,Banks—Regional,USD,us_market,NYQ,12,5278397952,1.617812,1.9,WAL
Syngenta AG,USA, , , ,us_market,NYQ, , , , ,SYT
"A. Schulman, Inc.",USA, , , ,us_market,NMS, , , , ,SHLM
"Northern Oil and Gas, Inc.",USA,Energy,Oil & Gas E&P,USD,us_market,ASE,8,280609952,2.320744,1.9,NOG
"Healthcare Trust of America, Inc.",USA,Real Estate,REIT—Healthcare Facilities,USD,us_market,NYQ,13,5702595584,0.534385,2.1,HTA
"G-III Apparel Group, Ltd.",USA,Consumer Cyclical,Apparel Retail,USD,us_market,NMS,10,1037940480,2.518038,2.6,GIII
"Famous Dave's of America, Inc.",USA, , , ,us_market,NMS, , , , ,DAVE
"CPI Aerostructures, Inc.",USA,Industrials,Aerospace & Defense,USD,us_market,ASE,1,38602700,1.472942,3,CVU
Actuant Corporation,USA, , , ,us_market,NYQ, , , , ,ATU
"Ascent Solar Technologies, Inc.",USA,Technology,Solar,USD,us_market,PNK,1,4187160,-0.037204, ,ASTI
"Approach Resources, Inc.",USA, , , ,us_market,NMS, , , , ,AREX
"Alexandria Real Estate Equities, Inc.",USA,Real Estate,REIT—Office,USD,us_market,NYQ,12,22661144576,0.807779,1.9,ARE
"Ansys, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,11,29273593856,1.253664,2.5,ANSS
American National Bankshares Inc.,USA,Financial Services,Banks—Regional,USD,us_market,NMS,3,291833920,1.07779,2,AMNB
"Amarantus Bioscience Holdings, Inc",USA,Healthcare,Biotechnology,USD,us_market,PNK, ,4010143,0.908117, ,AMBS
Alere Inc.,USA, , , ,us_market,NYQ, , , , ,ALR
Albany International Corp.,USA,Consumer Cyclical,Textile Manufacturing,USD,us_market,NYQ,6,2244849920,1.213077,2.2,AIN
Aspen Insurance Holdings Limited,USA, , , ,us_market,NYQ, , , , ,AHL
"Argan, Inc.",USA,Industrials,Engineering & Construction,USD,us_market,NYQ,2,742601280,0.574408,2,AGX
"ADTRAN, Inc.",USA,Technology,Communication Equipment,USD,us_market,NMS,5,610002880,1.29425,2.3,ADTN
"Adamas Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,8,125775400,2.574408,2.2,ADMS
"Axcelis Technologies, Inc.",USA,Technology,Semiconductor Equipment & Materials,USD,us_market,NMS,6,926499328,1.359639,1.8,ACLS
"Asbury Automotive Group, Inc.",USA,Consumer Cyclical,Auto & Truck Dealerships,USD,us_market,NYQ,8,2271060480,1.797632,2.4,ABG
China Zenix Auto International Limited,USA, , , ,us_market,NYQ, , , , ,ZX
KapStone Paper and Packaging Corporation,USA, , , ,us_market,NYQ, , , , ,KS
"HollySys Automation Technologies, Ltd.",USA,Industrials,Electrical Equipment & Parts,USD,us_market,NMS,6,760345984,0.957158,1.9,HOLI
"Group 1 Automotive, Inc.",USA,Consumer Cyclical,Auto & Truck Dealerships,USD,us_market,NYQ,6,2268763136,2.23337,1.9,GPI
Axalta Coating Systems Ltd.,USA,Basic Materials,Specialty Chemicals,USD,us_market,NYQ,19,6878282752,1.505636,2,AXTA
American States Water Company,USA,Utilities,Utilities—Regulated Water,USD,us_market,NYQ,5,2746024704,-0.070462,2.6,AWR
"Armstrong World Industries, Inc.",USA,Industrials,Building Products & Equipment,USD,us_market,NYQ,8,3723492608,1.169673,2.9,AWI
"AVEO Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,4,148367376,1.543404,1.2,AVEO
AU Optronics Corp.,USA, , , ,us_market,NYQ, , , , ,AUO
Autohome Inc.,USA,Communication Services,Internet Content & Information,CNY,us_market,NYQ,15,11121792000, ,2.2,ATHM
"America First Multifamily Investors, L.P.",USA,Financial Services,Mortgage Finance,USD,us_market,NMS,1,242180800,0.599774,2,ATAX
Avino Silver & Gold Mines Ltd.,USA,Basic Materials,Silver,USD,us_market,ASE,3,86031128,1.223731,2,ASM
Anworth Mortgage Asset Corporation,USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,1,219310672,1.854002,3,ANH
"Alexander's, Inc.",USA,Real Estate,REIT—Retail,USD,us_market,NYQ,1,1410378112,0.520293,3,ALX
Alamos Gold Inc.,USA,Basic Materials,Gold,USD,us_market,NYQ,6,3406219008,1.483917,2.2,AGI
AerCap Holdings N.V.,USA,Industrials,Airports & Air Services,USD,us_market,NYQ,8,4852912128,2.152198,2.1,AER
"Adams Resources & Energy, Inc.",USA,Energy,Oil & Gas Integrated,USD,us_market,ASE,1,110341704,1.015219, ,AE
"Aratana Therapeutics, Inc.",USA, , , ,us_market,NGM, , , , ,PETX
Oil-Dri Corporation of America,USA,Basic Materials,Specialty Chemicals,USD,us_market,NYQ, ,258339968,0.541149, ,ODC
Nordic American Offshore Ltd.,USA, , , ,us_market,NYQ, , , , ,NAO
"KAR Auction Services, Inc.",USA,Consumer Cyclical,Specialty Retail,USD,us_market,NYQ,9,2409257216,1.152198,2,KAR
Houston American Energy Corp.,USA,Energy,Oil & Gas E&P, ,us_market,ASE, ,11303906,0.475197, ,HUSA
"Aerohive Networks, Inc.",USA, , , ,us_market,NYQ, , , , ,HIVE
Fresenius Medical Care AG & Co. KGAA,USA,Healthcare, ,EUR,us_market,NYQ,5,25013878784,1.025316,2.4,FMS
Amdocs Limited,USA,Technology,Software—Infrastructure,USD,us_market,NMS,7,8845763584,0.678128,1.7,DOX
"CoreCivic, Inc.",USA,Real Estate,REIT—Specialty,USD,us_market,NYQ,2,892469632,1.285794,2,CXW
AXIS Capital Holdings Limited,USA,Financial Services,Insurance—Property & Casualty,USD,us_market,NYQ,8,4334105088,0.749718,2.8,AXS
"American Axle & Manufacturing Holdings, Inc.",USA,Consumer Cyclical,Auto Parts,USD,us_market,NYQ,9,869936640,2.806087,2.3,AXL
Avalon Holdings Corporation,USA,Industrials,Waste Management,USD,us_market,ASE, ,8215911,1.161217, ,AWX
"Avid Technology, Inc.",USA,Communication Services,Electronic Gaming & Multimedia,USD,us_market,NMS,4,525192224,1.096956,2.4,AVID
"Ascena Retail Group, Inc.",USA, , , ,us_market,NMS, , , , ,ASNA
"On Assignment, Inc.",USA,Industrials,Staffing & Employment Services,USD,us_market,NYQ,7,4167461888,2.27452,2.1,ASGN
"Ardelyx, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NGM,5,553223296,2,1.3,ARDX
Accuray Incorporated,USA,Healthcare,Medical Devices,USD,us_market,NMS, ,386087744,1.794813,1.5,ARAY
"Aquinox Pharmaceuticals, Inc.",USA, , , ,us_market,NGM, , , , ,AQXP
"Alpha Pro Tech, Ltd.",USA,Industrials,Building Products & Equipment,USD,us_market,ASE,1,171080288,-1.16629,1,APT
"Applied DNA Sciences, Inc.",USA,Industrials,Security & Protection Services,USD,us_market,NCM,2,39208400,1.582299,2,APDN
"Ambac Financial Group, Inc.",USA,Financial Services,Insurance—Specialty,USD,us_market,NMS,1,735694144,1.380496,3,AMBC
Allegiant Travel Company,USA,Industrials,Airlines,USD,us_market,NMS,12,2828663808,1.604847,1.8,ALGT
"Alon USA Partners, LP",USA, , , ,us_market,NYQ, , , , ,ALDW
"Applied Industrial Technologies, Inc.",USA,Industrials,Industrial Distribution,USD,us_market,NYQ,4,3012039680,1.363021,2,AIT
Altra Industrial Motion Corp.,USA,Industrials,Specialty Industrial Machinery,USD,us_market,NMS,6,3731409152,2.559188,1.7,AIMC
American Equity Investment Life Holding Company,USA,Financial Services,Insurance—Life,USD,us_market,NYQ,8,2482618624,1.571025,2.7,AEL
Aehr Test Systems,USA,Technology,Semiconductor Equipment & Materials,USD,us_market,NCM, ,38928200,1.001691, ,AEHR
Alcobra Ltd.,USA, , , ,us_market,NGM, , , , ,ADHD
"Acura Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,PNK, ,6495090,0.912626, ,ACUR
"Acadia Healthcare Company, Inc.",USA,Healthcare,Medical Care Facilities,USD,us_market,NMS,13,3735850496,1.434047,2.1,ACHC
Atlantic Coast Financial Corporation,USA, , , ,us_market,NGM, , , , ,ACFC
ACCO Brands Corporation,USA,Industrials,Business Equipment & Supplies,USD,us_market,NYQ,6, ,2.07779,1.8,ACCO
Atlantica Yield plc,USA, , , ,us_market,NMS, , , , ,ABY
TravelCenters of America LLC,USA,Consumer Cyclical,Specialty Retail,USD,us_market,NMS,4,472172384,1.921645,1.2,TA
"Retail Properties of America, Inc.",USA,Real Estate,REIT—Retail,USD,us_market,NYQ,8,1812580352,1.3354,2.6,RPAI
"Manhattan Associates, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,5,6584511488,1.970124,2.1,MANH
Lamar Advertising Company,USA,Real Estate,REIT—Specialty,USD,us_market,NMS,5,8067840000,1.343855,2.8,LAMR
"Aoxing Pharmaceutical Company, Inc.",USA, , , ,us_market,ASE, , , , ,AXN
Astronics Corporation,USA,Industrials,Aerospace & Defense,USD,us_market,NMS,3,369790496,1.61443,2.2,ATRO
"ATN International, Inc.",USA,Communication Services,Telecom Services,USD,us_market,NMS,4,759630336,0.258737,1.5,ATNI
"ARC Group Worldwide, Inc.",USA,Industrials,Metal Fabrication,USD,us_market,NCM,1,9923664, , ,ARCW
"American Public Education, Inc.",USA,Consumer Defensive,Education & Training Services,USD,us_market,NMS,3,461454656,0.847801,1.7,APEI
Ampco-Pittsburgh Corporation,USA,Industrials, ,USD,us_market,NYQ, ,75077968,1.240698, ,AP
"Anika Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,1,531906560,1.042277,2,ANIK
"AngioDynamics, Inc.",USA,Healthcare,Medical Instruments & Supplies,USD,us_market,NMS,2,525650464,0.598647,2.3,ANGO
Allied Motion Technologies Inc.,USA,Technology,Electronic Components,USD,us_market,NGM,3,397723424,1.82018,1.7,AMOT
Antero Midstream Partners LP,USA,Energy,Oil & Gas Midstream,USD,us_market,NYQ,12,3198247680,3.377797,3,AM
"Autoliv, Inc.",USA,Consumer Cyclical,Auto Parts,USD,us_market,NYQ,18,7911904256,1.864712,2.6,ALV
Analogic Corporation,USA, , , ,us_market,NMS, , , , ,ALOG
Acadia Realty Trust,USA,Real Estate,REIT—Retail,USD,us_market,NYQ,6,1246573952,1.028748,2.6,AKR
Aegion Corporation,USA,Industrials,Engineering & Construction,USD,us_market,NMS,3,534832992,1.195603,3,AEGN
Adidas AG,Germany,Consumer Cyclical,Footwear & Accessories,EUR,us_market,GER,35,52795432960,0.851898,2.5,ADS.DE
World Acceptance Corporation,USA,Financial Services,Credit Services,USD,us_market,NMS,4,793753536,1.668545,4,WRLD
AMERCO,USA,Industrials,Rental & Leasing Services,USD,us_market,NMS,1,8264687616,0.762683,2,UHAL
United States Antimony Corporation,USA,Basic Materials,Other Industrial Metals & Mining,USD,us_market,ASE,1,29531144,1.012965, ,UAMY
"Sonic Automotive, Inc.",USA,Consumer Cyclical,Auto & Truck Dealerships,USD,us_market,NYQ,7,1768623104,2.775648,2.1,SAH
"Natural Alternatives International, Inc.",USA,Consumer Defensive,Packaged Foods,USD,us_market,NGM, ,63655836,0.667418, ,NAII
Credit Acceptance Corporation,USA,Financial Services,Credit Services,USD,us_market,NMS,6,5684871680,1.281285,3.3,CACC
"Air Transport Services Group, Inc.",USA,Industrials,Integrated Freight & Logistics,USD,us_market,NMS,7,1761474432,0.692784,1.6,ATSG
Associated Banc-Corp,USA,Financial Services,Banks—Regional,USD,us_market,NYQ,9,2420578560,1.214205,3,ASB
Arotech Corporation,USA, , , ,us_market,NGM, , , , ,ARTX
Arrow Financial Corporation,USA,Financial Services,Banks—Regional,USD,us_market,NMS,1,464742016,0.62514, ,AROW
ArcBest Corporation,USA,Industrials,Trucking,USD,us_market,NMS,10,1090507008,1.666854,1.9,ARCB
"A-Mark Precious Metals, Inc.",USA,Financial Services,Capital Markets,USD,us_market,NMS,2,210078768,-0.471815,1.5,AMRK
"Alarm.Com Holdings, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,7,3595005696,0.940811,2.1,ALRM
"Ashford Hospitality Prime, Inc.",USA, , , ,us_market,NYQ, , , , ,AHP
"Agile Therapeutics, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,4,240445152,1.440811,1.6,AGRX
"Almost Family, Inc.",USA, , , ,us_market,NMS, , , , ,AFAM
"AdCare Health Systems, Inc.",USA, , , ,us_market,ASE, , , , ,ADK
Autobytel Inc.,USA, , , ,us_market,NCM, , , , ,ABTL
"Cambium Learning Group, Inc.",USA, , , ,us_market,NCM, , , , ,ABCD
"Applied Optoelectronics, Inc.",USA,Technology,Semiconductors,USD,us_market,NGM,8,187256016,2.063697,2.9,AAOI
Universal Stainless & Alloy Products Inc,USA,Basic Materials,Steel,USD,us_market,NMS,1,61896408,1.620631,2.5,USAP
State Auto Financial Corporation,USA,Financial Services,Insurance—Property & Casualty,USD,us_market,NMS,3,688253440,-0.01071,2.6,STFC
"Extended Stay America, Inc.",USA,Consumer Cyclical,Lodging,USD,us_market,NYQ,11,2469873408,1.901916,2,STAY
Origin Agritech Limited,USA,Basic Materials,Agricultural Inputs,CNY,us_market,NMS, ,47912044,0.993235, ,SEED
"Reinsurance Group of America, Incorporated",USA,Financial Services,Insurance—Reinsurance,USD,us_market,NYQ,9,8227850240,1.150507,2.6,RGA
"Industrial Services of America, Inc.",USA, , , ,us_market,NCM, , , , ,IDSA
China Eastern Airlines Corporation Limited,USA,Industrials,Airlines,CNY,us_market,NYQ,1,11215251456,0.852644,3,CEA
"Craft Brew Alliance, Inc.",USA, , , ,us_market,NMS, , , , ,BREW
AMREP Corporation,USA,Real Estate,Real Estate Services,USD,us_market,NYQ, ,44526088,0.732807, ,AXR
American Vanguard Corporation,USA,Basic Materials,Agricultural Inputs,USD,us_market,NYQ,2,465217536,0.978015,2,AVD
AudioCodes Ltd.,USA,Technology,Communication Equipment,USD,us_market,NMS,6,924745664,0.705749,1.8,AUDC
Atrion Corporation,USA,Healthcare,Medical Instruments & Supplies,USD,us_market,NMS, ,1113830528,0.162908, ,ATRI
Atossa Genetics Inc.,USA,Healthcare,Biotechnology,USD,us_market,NCM,2,17313120,2.589627,2,ATOS
"ARC Document Solutions, Inc.",USA,Industrials,Specialty Business Services,USD,us_market,NYQ,1,64478612,1.586809, ,ARC
Alpha and Omega Semiconductor Limited,USA,Technology,Semiconductors,USD,us_market,NMS,3,638714240,2.297632,3,AOSL
"Alliance One International, Inc.",USA, , , ,us_market,NYQ, , , , ,AOI
American Woodmark Corporation,USA,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USD,us_market,NMS,4,1514612736,2.433483,2.4,AMWD
Ally Financial Inc.,USA,Financial Services,Credit Services,USD,us_market,NYQ,16,11604520960,1.61443,1.7,ALLY
Air Industries Group,USA,Industrials,Aerospace & Defense,USD,us_market,ASE,1,41566036,1.251972,2,AIRI
Arch Capital Group Ltd.,USA,Financial Services,Insurance—Diversified,USD,us_market,NMS,10,13407011840,0.803269,2.2,ACGL
"Acorn Energy, Inc.",USA,Technology,Scientific & Technical Instruments,USD,us_market,PNK,1,13473941,1.591882, ,ACFN
"Arbor Realty Trust, Inc.",USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,5,1676938112,1.916572,2,ABR
Ameris Bancorp,USA,Financial Services,Banks—Regional,USD,us_market,NMS,7,2420354048,1.434047,1.6,ABCB
"FreightCar America, Inc.",USA,Industrials,Railroads,USD,us_market,NMS,2,38992348,1.786922,3,RAIL
"AG Mortgage Investment Trust, Inc.",USA,Real Estate, ,USD,us_market,NYQ,3,132345848,1.672491,4.3,MITT
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",USA,Real Estate,REIT—Specialty,USD,us_market,NYQ,10,4086935296,1.678692,2,HASI
GOL Linhas AÃ©reas Inteligentes S.A.,USA,Industrials,Airlines,BRL,us_market,NYQ,9,1675609344,2.070109,2.2,GOL
Gildan Activewear Inc.,USA,Consumer Cyclical,Apparel Manufacturing,USD,us_market,NYQ,12,5279940608,1.61115,2.2,GIL
Atento S.A.,USA,Industrials,Specialty Business Services,USD,us_market,NYQ,3,146721376,1.599774,2.5,ATTO
"AptarGroup, Inc.",USA,Consumer Cyclical,Packaging & Containers,USD,us_market,NYQ,7,8272829952,0.582299,2.1,ATR
"Actinium Pharmaceuticals, Inc.",USA, ,Biotechnology,USD,us_market,ASE,4,139533360,1.177001,1.8,ATNM
Astrotech Corporation,USA,Industrials,Aerospace & Defense,USD,us_market,NCM, ,33775196,-0.817361, ,ASTC
"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",USA,Industrials,Airports & Air Services,MXN,us_market,NYQ,8,4660656640, ,2.7,ASR
Ardmore Shipping Corporation,USA,Industrials,Marine Shipping,USD,us_market,NYQ,7,107511520,1.083427,2.2,ASC
Artesian Resources Corporation,USA,Utilities,Utilities—Regulated Water,USD,us_market,NMS, ,350126176,-0.034949,2,ARTNA
"Aduro BioTech, Inc.",USA, , , ,us_market,NMS, , , , ,ADRO
ACNB Corporation,USA,Financial Services,Banks—Regional,USD,us_market,NCM, ,221934400,-0.05186, ,ACNB
Advantage Oil & Gas Ltd.,USA, , , ,us_market,NYQ, , , , ,AAV
"American Assets Trust, Inc.",USA,Real Estate,REIT—Diversified,USD,us_market,NYQ,4,1753026688,0.979143,2.8,AAT
China Southern Airlines Company Limited,USA,Industrials,Airlines,CNY,us_market,NYQ,1,13601156096,1.8, ,ZNH
Alliant Energy Corporation,USA,Utilities,Utilities—Regulated Electric,USD,us_market,NYQ,8,13329743872,0.366967,2.1,LNT
Kaiser Aluminum Corporation,USA,Basic Materials,Aluminum,USD,us_market,NMS,1,1384674304,1.071589,3,KALU
"Home Bancshares, Inc. (Conway, AR)",USA,Financial Services,Banks—Regional,USD,us_market,NMS,8,3123326976,1.527621,2,HOMB
First American Financial Corporation,USA,Financial Services,Insurance—Specialty,USD,us_market,NYQ,5,5430412800,1.180947,2.3,FAF
First Acceptance Corporation,USA, , , ,us_market,NYQ, , , , ,FAC
"China Automotive Systems, Inc.",USA,Consumer Cyclical,Auto Parts,USD,us_market,NCM,1,267793632,1.367531,4,CAAS
"Amplify Snack Brands, Inc.",USA, , , ,us_market,NYQ, , , , ,BETR
"Acorn International, Inc.",USA,Consumer Cyclical,Internet Retail,USD,us_market,NYQ,1,53347468,0.267192,3,ATV
Atlanticus Holdings Corporation,USA,Financial Services,Credit Services,USD,us_market,NMS,1,247570624,0.694475,4,ATLC
"Asterias Biotherapeutics, Inc.",USA, , , ,us_market,ASE, , , , ,AST
"ARI Network Services, Inc.",USA, , , ,us_market,NCM, , , , ,ARIS
"Appliance Recycling Centers of America, Inc.",USA, , , ,us_market,NCM, , , , ,ARCI
Sphere 3D Corp.,USA,Technology,Software—Application,USD,us_market,NCM, ,14239613,1.947576, ,ANY
"ANI Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,3,348506880,1.313416,2,ANIP
"American Software, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,1,533328160,0.448703,1.5,AMSWA
"Amerisafe, Inc.",USA,Financial Services,Insurance—Specialty,USD,us_market,NMS,3,1071136256,0.4239,2.4,AMSF
Allot Communications Ltd.,USA,Technology,Software—Infrastructure,USD,us_market,NMS,4,347195232,0.693912,1.7,ALLT
"Akari Therapeutics, Plc",USA,Healthcare,Biotechnology,USD,us_market,NCM, ,60403084,1.637542,2,AKTX
"Agilysys, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,3,876413120,1.23788,2.5,AGYS
"American Financial Group, Inc.",USA,Financial Services,Insurance—Property & Casualty,USD,us_market,NYQ,3,7831609856,0.823562,2.4,AFG
"Wesco Aircraft Holdings, Inc.",USA, , , ,us_market,NYQ, , , , ,WAIR
Altisource Residential Corporation,USA,Real Estate,REIT—Residential,USD,us_market,NYQ,4,955815360,0.388387,3,RESI
BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,USA,Consumer Defensive,Farm Products, ,us_market,NYQ, ,311304704,0.427371, ,LND
"Digital Ally, Inc.",USA,Industrials,Security & Protection Services,USD,us_market,NCM,1,66396296,0.581172, ,DGLY
"China Advanced Construction Materials Group, Inc.",USA, , , ,us_market,NCM, , , , ,CADC
"Aware, Inc.",USA,Technology,Software—Application,USD,us_market,NGM,1,67130048,0.070462, ,AWRE
"Aviat Networks, Inc.",USA,Technology,Communication Equipment,USD,us_market,NMS,2,192788832,1.473506,2,AVNW
"ATRM Holdings, Inc.",USA, , , ,us_market,PNK, , , , ,ATRM
"AppFolio, Inc.",USA,Technology,Software—Application,USD,us_market,NGM,2,5431751168,1.199549,3.2,APPF
"Albany Molecular Research, Inc.",USA, , , ,us_market,NMS, , , , ,AMRI
AirMedia Group Inc.,USA, , , ,us_market,NMS, , , , ,AMCN
Andatee China Marine Fuel Services Corporation,USA,Energy,Oil & Gas Equipment & Services,USD,us_market,PNK,1,1743492,2.098083,3,AMCF
Allegion plc,USA,Industrials,Security & Protection Services,USD,us_market,NYQ,10,10584484864,1.095264,2.9,ALLE
"Aerojet Rocketdyne Holdings, Inc.",USA,Industrials,Aerospace & Defense,USD,us_market,NYQ,5,2931468032,0.337655,2.2,AJRD
"Armada Hoffler Properties, Inc.",USA,Real Estate,REIT—Diversified,USD,us_market,NYQ,4,853398592,0.694475,2.2,AHH
Federal Agricultural Mortgage Corporation,USA,Financial Services,Credit Services,USD,us_market,NYQ, ,741431680,1.142615,1,AGM
"Argo Group International Holdings, Ltd.",USA, , , ,us_market,NMS, , , , ,AGII
Athens Bancshares Corporation,USA, , , ,us_market,PNK, , , , ,AFCB
"ADMA Biologics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,7,190041472,2.020856,1.7,ADMA
Atlantic American Corporation,USA,Financial Services,Insurance—Life,USD,us_market,NGM, ,44094888,0.218714, ,AAME
Telecom Argentina S.A.,USA,Communication Services,Telecom Services,ARS,us_market,NYQ,8,3618198784,0.971845,3.7,TEO
"Sino-Global Shipping America, Ltd.",USA,Industrials,Integrated Freight & Logistics,USD,us_market,NCM, ,9454623,1.427846, ,SINO
North American Energy Partners Inc.,USA,Energy,Oil & Gas Equipment & Services,CAD,us_market,NYQ,1,301168640,1.374553,2,NOA
"Jaguar Health, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,1,36873948,0.986954,1,JAGX
AMCON Distributing Company,USA,Consumer Defensive,Food Distribution,USD,us_market,ASE, ,50178012,0.240698, ,DIT
"America's Car-Mart, Inc.",USA,Consumer Cyclical,Auto & Truck Dealerships,USD,us_market,NMS,4,740722496,1.398534,2,CRMT
"China Green Agriculture, Inc.",USA,Basic Materials,Agricultural Inputs,USD,us_market,NYQ, ,15729906,0.702931, ,CGA
"A10 Networks, Inc.",USA,Technology,Software—Infrastructure,USD,us_market,NYQ,2,612133824,0.86133,1.5,ATEN
"American Railcar Industries, Inc.",USA, , , ,us_market,NMS, , , , ,ARII
Aradigm Corporation,USA, , , ,us_market,NCM, , , , ,ARDM
Arc Logistics Partners LP,USA, , , ,us_market,NYQ, , , , ,ARCX
"Digital Turbine, Inc.",USA,Technology,Software—Application,USD,us_market,NCM,6,3953229824,2.178692,1.7,APPS
AmpliPhi Biosciences Corporation,USA, , , ,us_market,ASE, , , , ,APHB
Aegean Marine Petroleum Network Inc.,USA, , , ,us_market,NYQ, , , , ,ANW
American National Insurance Company,USA,Financial Services,Insurance—Diversified,USD,us_market,NMS, ,2328162560,0.622322, ,ANAT
"Achaogen, Inc.",USA, , , ,us_market,NGM, , , , ,AKAO
"American Electric Technologies, Inc",USA, , , ,us_market,NCM, , , , ,AETI
Adamis Pharmaceuticals Corporation,USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NCM,1,49460580,2.121195,3,ADMP
"American Campus Communities, Inc.",USA,Real Estate,REIT—Residential,USD,us_market,NYQ,8,5547945984,0.890078,2.4,ACC
REX American Resources Corporation,USA,Energy,Oil & Gas Refining & Marketing,USD,us_market,NYQ,2,501209088,1.259301,2,REX
"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",USA,Industrials,Airports & Air Services,MXN,us_market,NYQ,8,6158499840,0.821998,2.6,PAC
Navios Maritime Acquisition Corporation,USA,Energy,Oil & Gas Midstream,USD,us_market,NYQ,1,64992920,2.169673,3,NNA
"National American University Holdings, Inc.",USA,Consumer Defensive,Education & Training Services,USD,us_market,NGM,1,2483943,-0.379932, ,NAUH
Helios and Matheson Analytics Inc.,USA,Technology,Information Technology Services,USD,us_market,NCM,1,800615,1.099774, ,HMNY
"German American Bancorp, Inc.",USA,Financial Services,Banks—Regional,USD,us_market,NMS,4,874510784,0.784667,3,GABC
Caesars Acquisition Company,USA, , , ,us_market,NMS, , , , ,CACQ
British American Tobacco p.l.c.,USA,Consumer Defensive,Tobacco,GBP,us_market,NYQ,3,81681997824,0.602531,1.7,BTI
"Axion Power International, Inc.",USA, , , ,us_market,PNK, , , , ,AXPW
AVX Corporation,USA, , , ,us_market,NYQ, , , , ,AVX
"Asure Software, Inc.",USA,Technology,Software—Application,USD,us_market,NCM,7,121531768,1.193912,2,ASUR
"Assembly Biosciences, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,5,186906208,1.31567,1.7,ASMB
"Asta Funding, Inc.",USA, , , ,us_market,NMS, , , , ,ASFI
"Ascent Capital Group, Inc.",USA, , , ,us_market,NMS, , , , ,ASCMA
Aristocrat Group Corp.,USA, ,Beverages—Wineries & Distilleries, ,us_market,PNK, ,54372,1.331454, ,ASCC
"Ares Management, L.P.",USA,Financial Services,Asset Management,USD,us_market,NYQ,10,6597573632,1.28974,1.9,ARES
"Aqua Metals, Inc.",USA,Industrials,Waste Management,USD,us_market,NCM, ,74022480,1.322435,1,AQMS
Anchor Bancorp,USA, , , ,us_market,NGM, , , , ,ANCB
